name,type,description,family,raster_asset,included_in_focused_list
tk0_5a,float,Thickness of soil components used in standard layer 1 or standard zone 1 (0-5 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,false
tk5_20a,float,Thickness of soil components used in standard layer 2 (5-20 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,false
tk20_50a,float,Thickness of soil components used in standard layer 3 (20-50 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,true
tk50_100a,float,Thickness of soil components used in standard layer 4 (50-100 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,true
tk100_150a,float,Thickness of soil components used in standard layer 5 (100-150 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,true
tk150_999a,float,Thickness of soil components used in standard layer 6 (150 cm to the reported depth of the soil profile) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,true
tk0_20a,float,Thickness of soil components used in standard zone 2 (0-20 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,false
tk0_30a,float,Thickness of soil components used in standard zone 3 (0-30 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,false
tk0_100a,float,Thickness of soil components used in standard zone 4 (0-100 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,true
tk0_150a,float,Thickness of soil components used in standard zone 5 (0-150 cm) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,true
tk0_999a,float,Thickness of soil components used in total soil profile (0 cm to the reported depth of the soil profile) expressed in cm (weighted average) for the available water storage calculation. NULL values are presented where data are incomplete or not available.,aws_contributing_thickness,true,true
musumcpcta,int32,The sum of the comppct_r (SSURGO component table) values used in the available water storage calculation for the map unit. Useful metadata information. NULL values are presented where data are incomplete or not available.,component_percentage_sum,true,true
soc0_5,float,Soil organic carbon stock estimate (SOC) in standard layer 1 or standard zone 1 (0-5 cm depth). The concentration of organic carbon present in the soil expressed in grams C per square meter to a depth of 5 cm. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc5_20,float,Soil organic carbon stock estimate (SOC) in standard layer 2 (5-20 cm depth). The concentration of organic carbon present in the soil expressed in grams C per square meter for the 5-20 cm layer. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc20_50,float,Soil organic carbon stock estimate (SOC) in standard layer 3 (20-50 cm depth). The concentration of organic carbon present in the soil expressed in grams C per square meter for the 20-50 cm layer. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc50_100,float,Soil organic carbon stock estimate (SOC) in standard layer 4 (50-100 cm depth). The concentration of organic carbon present in the soil expressed in grams C per square meter for the 50-100 cm layer. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc100_150,float,Soil organic carbon stock estimate (SOC) in standard layer 5 (100-150 cm depth). The concentration of organic carbon present in the soil expressed in grams C per square meter for the 100-150 cm layer. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc150_999,float,Soil organic carbon stock estimate (SOC) in standard layer 6 (150 cm to the reported depth of the soil profile). The concentration of organic carbon present in the soil expressed in grams C per square meter for the 150 cm and greater depth layer. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc0_20,float,Soil organic carbon stock estimate (SOC) in standard zone 2 (0-20 cm depth). The concentration of organic carbon present in the soil expressed in grams C per square meter to a depth of 20 cm. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc0_30,float,Soil organic carbon stock estimate (SOC) in standard zone 3 (0-30 cm depth). The concentration of organic carbon present in the soil expressed in grams C per square meter to a depth of 30 cm. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc0_100,float,Soil organic carbon stock estimate (SOC) in standard zone 4 (0-100 cm depth). The concentration of organic carbon present in the soil expressed in grams C per square meter to a depth of 100 cm. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc0_150,float,Soil organic carbon stock estimate (SOC) in standard zone 5 (0-150 cm depth). The concentration of organic carbon present in the soil expressed in grams C per square meter to a depth of 150 cm. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
soc0_999,float,Soil organic carbon stock estimate (SOC) in total soil profile (0 cm to the reported depth of the soil profile). The concentration of organic carbon present in the soil expressed in grams C per square meter for the total reported soil profile depth. NULL values are presented where data are incomplete or not available.,soil_organic_carbon_stock,true,true
tk0_5s,float,Thickness of soil components used in standard layer 1 or standard zone 1 (0-5 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,false
tk5_20s,float,Thickness of soil components used in standard layer 2 (5-20 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,false
tk20_50s,float,Thickness of soil components used in standard layer 3 (20-50 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,true
tk50_100s,float,Thickness of soil components used in standard layer 4 (50-100 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,true
tk100_150s,float,Thickness of soil components used in standard layer 5 (100-150 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,true
tk150_999s,float,Thickness of soil components used in standard layer 6 (150 cm to the reported depth of the soil profile) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,true
tk0_20s,float,Thickness of soil components used in standard zone 2 (0-20 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,false
tk0_30s,float,Thickness of soil components used in standard zone 3 (0-30 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,false
tk0_100s,float,Thickness of soil components used in standard zone 4 (0-100 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,true
tk0_150s,float,Thickness of soil components used in standard zone 5 (0-150 cm) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,true
tk0_999s,float,Thickness of soil components used in total soil profile (0 cm to the reported depth of the soil profile) expressed in cm (weighted average) for the Soil Organic Carbon calculation. NULL values are presented where data are incomplete or not available.,soc_contributing_thickness,true,true
musumcpcts,int32,The sum of the comppct_r (SSURGO component table) values used in the soil organic carbon calculation for the map unit. Useful metadata information. NULL values are presented where data are incomplete or not available.,component_percentage_sum,true,true
nccpi3corn,float,"National Commodity Crop Productivity Index for Corn (weighted average) for major earthy components. Values range from .01 (low productivity) to .99 (high productivity). Earthy components are those soil series or higher level taxa components that can support crop growth (Dobos et al., 2012). Major components are those soil components where the majorcompflag = 'Yes' (SSURGO component table). NULL values are presented where data are incomplete or not available.",crop_productivity_index,true,true
nccpi3soy,float,"National Commodity Crop Productivity Index for Soybeans (weighted average) for major earthy components. Values range from .01 (low productivity) to .99 (high productivity). Earthy components are those soil series or higher level taxa components that can support crop growth (Dobos et al., 2012). Major components are those soil components where the majorcompflag = 'Yes' (SSURGO component table). NULL values are presented where data are incomplete or not available.",crop_productivity_index,true,true
nccpi3cot,float,"National Commodity Crop Productivity Index for Cotton (weighted average) for major earthy components. Values range from .01 (low productivity) to .99 (high productivity). Earthy components are those soil series or higher level taxa components that can support crop growth (Dobos et al., 2012). Major components are those soil components where the majorcompflag = 'Yes' (SSURGO component table). NULL values are presented where data are incomplete or not available.",crop_productivity_index,true,true
nccpi3sg,float,"National Commodity Crop Productivity Index for Small Grains (weighted average) for major earthy components. Values range from .01 (low productivity) to .99 (high productivity). Earthy components are those soil series or higher level taxa components that can support crop growth (Dobos et al., 2012). Major components are those soil components where the majorcompflag = 'Yes' (SSURGO component table). NULL values are presented where data are incomplete or not available.",crop_productivity_index,true,true
nccpi3all,float,"National Commodity Crop Productivity Index that has the highest value among Corn and Soybeans, Small Grains, or Cotton (weighted average) for major earthy components. Values range from .01 (low productivity) to .99 (high productivity). Earthy components are those soil series or higher level taxa components that can support crop growth (Dobos et al., 2012). Major components are those soil components where the majorcompflag = 'Yes' (SSURGO component table). NULL values are presented where data are incomplete or not available.",crop_productivity_index,true,true
pctearthmc,int32,"The National Commodity Crop Productivity Index map unit percent earthy is the map unit summed comppct_r for major earthy components. Earthy components are those soil series or higher level taxa components that can support crop growth (Dobos et al., 2012). Major components are those soil components where the majorcompflag = 'Yes' (SSURGO component table). Useful metadata information. NULL values are presented where data are incomplete or not available.",percent_earthy_major_components,true,true
rootznemc,int32,"Root zone depth is the depth within the soil profile that commodity crop (cc) roots can effectively extract water and nutrients for growth. Root zone depth influences soil productivity significantly. Soil component horizon criteria for root-limiting depth include: presence of hard bedrock, soft bedrock, a fragipan, a duripan, sulfuric material, a dense layer, a layer having a pH of less than 3.5, or a layer having an electrical conductivity of more than 12 within the component soil profile. If no root-restricting zone is identified, a depth of 150 cm is used to approximate the root zone depth (Dobos et al., 2012). Root zone depth is computed for all map unit major earthy components (weighted average). Earthy components are those soil series or higher level taxa components that can support crop growth (Dobos et al., 2012). Major components are those soil components where the majorcompflag = 'Yes' (SSURGO component table). NULL values are presented where data are incomplete or not available.",root_zone,true,true
rootznaws,int32,"Root zone (commodity crop) available water storage estimate (RZAWS) , expressed in mm, is the volume of plant available water that the soil can store within the root zone based on all map unit earthy major components (weighted average). Earthy components are those soil series or higher level taxa components that can support crop growth (Dobos et al., 2012). Major components are those soil components where the majorcompflag = 'Yes' (SSURGO component table). NULL values are presented where data are incomplete or not available.",root_zone,true,true
droughty,int32,"zone for commodity crops that is less than or equal to 6 inches (152 mm) expressed as ""1"" for a drought vulnerable soil landscape map unit or ""0"" for a non-droughty soil landscape map unit or NULL for miscellaneous areas (includes water bodies) or where data were not available. It is computed as a weighted average for major earthy components. Earthy components are those soil series or higher level taxa components that can support crop growth (Dobos et al., 2012). Major components are those soil components where the majorcompflag = 'Yes'",drought_vulnerability,true,true
pwsl1pomu,int32,"Potential Wetland Soil Landscapes (PWSL) is expressed as the percentage of the map unit that meets the PWSL criteria. The hydric rating (soil component variable “hydricrating”) is an indicator of wet soils. For version 1 (pwsl1), those soil components that meet the following criteria are tagged as PWSL and their comppct_r values are summed for each map unit. Soil components with hydricrating = 'YES' are considered PWSL. Soil components with hydricrating = “NO” are not PWSL. Soil components with hydricrating = 'UNRANKED' are tested using other attributes, and will be considered PWSL if any of the following conditions are met: drainagecl = 'Poorly drained' or 'Very poorly drained' or the localphase or the otherph data fields contain any of the phrases ""drained"" or ""undrained"" or ""channeled"" or ""protected"" or ""ponded"" or ""flooded"". If these criteria do not determine the PWSL for a component and hydricrating = 'UNRANKED', then the map unit will be classified as PWSL if the map unit name contains any of the phrases ""drained"" or ""undrained"" or ""channeled"" or ""protected"" or ""ponded"" or ""flooded"". For version 1 (pwsl1), waterbodies are identified as ""999"" when map unit names match a list of terms that identify water or intermittent water or map units have a sum of the comppct_r for ""Water"" that is 80% or greater. NULL values are presented where data are incomplete or not available.",potential_wetland_soil_landscape,true,true
musumcpct,int32,The sum of the comppct_r (SSURGO component table) values for all listed components in the map unit. Useful metadata information. NULL values are presented where data are incomplete or not available.,component_percentage_sum,true,true
mukey,int64,Map unit key is the unique identifier of a record in the Mapunit table. Use this column to join the Component table to the Mapunit table and the valu1 table to the MapUnitRaster_10m raster map layer to map valu1 themes.,identifier,true,true
